,Unnamed: 0,Unnamed: 0.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
219,0,0,1,Gurgaon,"27,21","7,78","17,92","27,14","22,19","80,31",Inde,28.42826235,77.00270014657752
220,1,1,2,Noida,"26,23","4,95","16,06","25,04","23,18","76,44",Inde,28.5707841,77.3271074
221,2,2,3,Bombay,"25,67","16,88","21,47","25,08","22,74","46,95",Inde,19.0785451,72.878176
222,3,3,4,Bangalore,"25,38","7,77","16,96","25,79","20,03","98,57",Inde,12.9767936,77.590082
223,4,4,5,Hyderabad,"24,90","5,73","15,74","26,41","17,62","57,31",Inde,17.360589,78.4740613
224,5,5,6,Delhi,"24,77","7,35","16,44","22,72","23,54","61,28",Inde,28.6517178,77.2219388
225,6,6,7,Navi Mumbai,"24,70","10,59","17,96","25,57","19,01","85,24",Inde,19.0308262,73.0198537
226,7,7,8,Ahmedabad,"23,91","11,41","17,94","24,68","17,48","39,62",Inde,23.0216238,72.5797068
227,8,8,9,Pune,"23,80","6,60","15,58","24,16","19,53","84,99",Inde,18.521428,73.8544541
228,9,9,10,Patna,"23,63","4,72","14,59","24,58","16,46","38,44",Inde,25.6093239,85.1235252
229,10,10,11,Guwahati,"23,57","3,82","14,13","23,61","19,13","58,25",Inde,26.1805978,91.753943
230,11,11,12,Chandigarh,"23,56","5,30","14,83","21,85","19,52","71,67",Inde,30.72984395,76.78414567016054
231,12,12,13,Chennai,"22,99","5,70","14,72","24,20","16,39","62,90",Inde,13.0836939,80.270186
232,13,13,14,Lucknow (Lakhnau),"22,27","4,11","13,59","21,04","16,13","70,23",Inde,26.8381,80.9346001
233,14,14,15,Bhubaneswar,"22,12","4,16","13,53","22,92","14,20","73,24",Inde,20.2602964,85.8394521
234,15,15,16,Vadodara,"22,05","3,08","12,98","21,49","18,71","45,71",Inde,22.2973142,73.1942567
235,16,16,17,Calcutta,"22,01","5,09","13,92","22,85","15,79","65,38",Inde,22.5726723,88.3638815
