,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
75,75,75,21,21,22,Kelowna,63.34,36.86,50.68,62.23,57.76,104.11,Canada,49.8879177,-119.495902
76,76,76,22,22,23,Kingston,62.92,34.86,49.51,58.52,58.31,106.21,Canada,44.230687,-76.481323
77,77,77,23,23,24,Brampton,62.76,34.91,49.45,55.25,58.9,120.36,Canada,43.6858146,-79.7599337
78,78,78,24,24,25,Regina,61.29,21.61,42.33,58.23,58.01,148.74,Canada,50.44876,-104.61731
79,79,79,25,25,26,Windsor,60.54,29.56,45.73,53.18,60.4,110.17,Canada,42.3167397,-83.0373389
80,80,80,0,0,1,Suzhou,58.54,27.12,43.52,69.44,39.55,28.92,Chine,31.3016935,120.5810725
81,81,81,1,1,2,Shanghai,47.14,36.3,41.96,47.98,36.34,60.91,Chine,31.2322758,121.4692071
82,82,82,2,2,3,Pékin,46.72,35.6,41.4,44.46,33.46,62.07,Chine,39.906217,116.3912757
83,83,83,3,3,4,Shenzhen,43.75,22.31,33.51,45.86,29.88,82.31,Chine,22.5445741,114.0545429
84,84,84,4,4,5,Hangzhou,40.85,15.31,28.65,46.88,29.55,62.69,Chine,30.2489634,120.2052342
85,85,85,5,5,6,Canton (Guangzhou),38.14,16.45,27.77,37.78,27.64,75.92,Chine,23.1301964,113.2592945
86,86,86,6,6,7,Chengdu,37.8,11.55,25.25,39.52,25.13,56.0,Chine,30.6598628,104.0633717
87,87,87,7,7,8,Nankin,35.65,14.09,25.34,37.92,21.54,73.28,Chine,32.0615513,118.7915619
88,88,88,8,8,9,"Qingdao, Shandong",32.41,8.84,21.14,35.22,21.99,77.19,Chine,36.0638034,120.3781372
89,89,89,0,0,1,Larnaca,62.11,24.6,44.18,49.23,62.09,50.41,Chypre,34.9236095,33.6236184
90,90,90,1,1,2,Limassol,59.23,39.77,49.93,45.94,61.18,54.03,Chypre,34.6852901,33.0332657
91,91,91,2,2,3,Nicosie,54.34,18.72,37.31,44.2,54.19,65.57,Chypre,35.1748976,33.3638568
92,92,92,3,3,4,Paphos,48.54,20.48,35.13,38.16,48.24,59.44,Chypre,34.7743988,32.4231586
93,93,93,0,0,1,Medellin,24.11,8.1,16.46,22.13,18.24,35.0,Colombie,6.2443382,-75.573553
94,94,94,1,1,2,Carthagène des Indes,23.94,11.58,18.03,21.02,17.69,30.83,Colombie,10.4195841,-75.5271224
95,95,95,2,2,3,Bogota,23.65,9.04,16.67,22.17,17.46,29.39,Colombie,4.6534649,-74.0836453
96,96,96,3,3,4,Cali,22.61,5.17,14.28,20.17,16.88,40.12,Colombie,3.4517923,-76.5324943
97,97,97,4,4,5,Barranquilla,22.59,6.08,14.7,20.52,16.66,32.9,Colombie,10.9810761,-74.7988827
98,98,98,5,5,6,Bucaramanga,18.89,4.44,11.98,15.38,13.27,31.88,Colombie,7.1172633,-73.1156668
99,99,99,0,0,1,Zadar,51.75,13.65,33.54,43.62,49.71,39.78,Croatie,44.1168594,15.2353257
100,100,100,1,1,2,Dubrovnik,50.41,12.06,32.08,36.91,52.67,47.52,Croatie,42.64873625,18.094680152605108
101,101,101,2,2,3,Zagreb,49.67,15.44,33.31,41.19,44.5,57.45,Croatie,45.84264135,15.962231476593626
102,102,102,3,3,4,Rijeka,44.74,12.41,29.29,38.6,41.05,52.94,Croatie,45.3267976,14.442208
103,103,103,4,4,5,Split,44.31,12.91,29.31,38.27,40.39,57.7,Croatie,43.5116383,16.4399659
104,104,104,5,5,6,Osijek,40.45,8.73,25.29,34.07,30.21,55.51,Croatie,45.5548793,18.6953685
105,105,105,0,0,1,Odense,82.85,26.32,55.83,71.14,101.12,90.04,Danemark,55.3997225,10.3852104
106,106,106,1,1,2,Copenhague,80.28,44.92,63.38,61.46,97.15,98.72,Danemark,55.6867243,12.5700724
107,107,107,2,2,3,Arhus,78.61,30.42,55.58,60.02,92.16,103.31,Danemark,56.1496278,10.2134046
108,108,108,3,3,4,Aalborg,75.0,20.65,49.03,61.89,84.91,119.34,Danemark,57.0462626,9.9215263
109,109,109,0,0,1,Le Caire,22.95,5.24,14.49,19.32,19.78,22.52,Egypte,30.0443879,31.2357257
110,110,110,1,1,2,Alexandrie,19.81,3.74,12.13,17.15,19.05,20.36,Egypte,31.199004,29.894378
111,111,111,2,2,3,Gizeh,19.22,2.84,11.39,17.0,14.65,23.93,Egypte,29.9870753,31.2118063
112,112,112,0,0,1,Dubai,64.81,46.51,56.06,46.52,73.59,129.4,Emirats Arabes Unis,25.07428235,55.18853865430702
113,113,113,1,1,2,Abou Dabi,55.18,43.06,49.39,42.87,55.87,116.96,Emirats Arabes Unis,24.4538352,54.3774014
114,114,114,2,2,3,Charjah,46.49,77.9,61.5,36.3,33.63,42.68,Emirats Arabes Unis,25.3575436,55.3882729
115,115,115,3,3,4,Ajman,43.64,15.45,30.17,33.62,33.32,113.23,Emirats Arabes Unis,25.5091287,55.36190724872312
116,116,116,0,0,1,Guayaquil,37.81,11.22,25.1,31.37,29.84,41.17,Équateur,-2.1900563,-79.8868741
117,117,117,1,1,2,Cuenca,37.77,11.14,25.04,35.03,28.86,32.23,Équateur,-2.8974072,-79.0041726
118,118,118,2,2,3,Quito,35.6,10.43,23.57,31.56,31.21,34.4,Équateur,-0.2201641,-78.5123274
119,119,119,0,0,1,Barcelona,57.22,29.49,43.96,43.63,60.07,74.37,Espagne,41.3828939,2.1774322
